Size,ArrayType,Algorithm,K,Time_us
8400,Random,HybridMergeInsertionSort,30,2507
8400,Random,HybridMergeInsertionSort,50,2429
8500,Random,StandardMergeSort,0,5478
8500,Random,HybridMergeInsertionSort,5,3273
8500,Random,HybridMergeInsertionSort,10,2794
8500,Random,HybridMergeInsertionSort,15,2823
8500,Random,HybridMergeInsertionSort,20,2531
8500,Random,HybridMergeInsertionSort,30,2531
8500,Random,HybridMergeInsertionSort,50,2460
8600,Random,StandardMergeSort,0,5546
8600,Random,HybridMergeInsertionSort,5,3307
8600,Random,HybridMergeInsertionSort,10,2856
8600,Random,HybridMergeInsertionSort,15,2830
8600,Random,HybridMergeInsertionSort,20,2555
8600,Random,HybridMergeInsertionSort,30,2550
8600,Random,HybridMergeInsertionSort,50,2490
8700,Random,StandardMergeSort,0,5631
8700,Random,HybridMergeInsertionSort,5,3347
8700,Random,HybridMergeInsertionSort,10,2842
8700,Random,HybridMergeInsertionSort,15,2843
8700,Random,HybridMergeInsertionSort,20,2581
8700,Random,HybridMergeInsertionSort,30,2592
8700,Random,HybridMergeInsertionSort,50,2527
8800,Random,StandardMergeSort,0,5748
8800,Random,HybridMergeInsertionSort,5,3382
8800,Random,HybridMergeInsertionSort,10,2884
8800,Random,HybridMergeInsertionSort,15,2887
8800,Random,HybridMergeInsertionSort,20,2618
8800,Random,HybridMergeInsertionSort,30,2612
8800,Random,HybridMergeInsertionSort,50,2561
8900,Random,StandardMergeSort,0,5782
8900,Random,HybridMergeInsertionSort,5,3404
8900,Random,HybridMergeInsertionSort,10,2911
8900,Random,HybridMergeInsertionSort,15,2906
8900,Random,HybridMergeInsertionSort,20,2645
8900,Random,HybridMergeInsertionSort,30,2643
8900,Random,HybridMergeInsertionSort,50,2596
9000,Random,StandardMergeSort,0,5883
9000,Random,HybridMergeInsertionSort,5,3432
9000,Random,HybridMergeInsertionSort,10,2942
9000,Random,HybridMergeInsertionSort,15,2932
9000,Random,HybridMergeInsertionSort,20,2685
9000,Random,HybridMergeInsertionSort,30,2687
